Altitude_ft,DeltaISA_C,RPM,POH_KTAS,POH_PercentMCP,POH_FuelFlow_GPH,Density_kgpm3,AdvanceRatio,LiftCoefficient,EnginePower_kW,CurrentPolarPowerRequired_kW,CurrentPolarEtaImplied,ExternalPolarPowerRequired_kW,ExternalPolarEtaImplied,HaberkornPowerRequired_kW,HaberkornEtaImplied,CurrentProxyEta,CurrentProxyPowerMargin_kW
2000,-20,2100,92,47,6.9,1.24232738496582,0.700503937007874,0.503215085073029,63.0862091358601,43.195818130718,0.684710949071185,48.3187560227456,0.765916302225231,40.1316896611162,0.636140453053536,0.847490310046462,10.269132809488
2000,-20,2200,99,53,7.7,1.24232738496582,0.71953937007874,0.434569174579953,71.1397677489486,49.2661938879291,0.692526774360425,55.3787002221275,0.778449269297002,47.9059469048295,0.673406006523511,0.849240995679721,11.1486133076121
2000,-20,2300,105,61,8.6,1.24232738496582,0.729967476891476,0.386323127442913,81.8778458997333,55.4314130476511,0.677001360240129,62.5250674150958,0.763638402159032,55.7060880810783,0.680356053202662,0.849806255935845,14.1488926204933
2000,-20,2400,111,69,9.6,1.24232738496582,0.73952657480315,0.345687239676822,92.615924050518,62.5182109394456,0.675026585118825,70.722215713822,0.763607516081642,64.607223820215,0.697582240662789,0.849999545586596,16.2052824175773
2000,-20,2500,115,78,10.6,1.24232738496582,0.735529133858268,0.322057654446739,104.696261970151,67.7720196139614,0.647320337313317,76.7911647586037,0.733466155463097,71.178319226888,0.679855401591904,0.849960331326717,21.2156498988567
2000,-20,2550,117,83,11.1,1.24232738496582,0.733647985178323,0.31114124333831,111.407560814391,70.5618179502255,0.633366509727144,80.0117221770054,0.718189336451838,74.6608154228589,0.670159322016271,0.849920740972033,24.1257786870287
4000,-20,2100,91,45,6.6,1.17151840373137,0.692889763779528,0.545423021407954,60.4016895981639,41.7154200809881,0.690633330930137,46.5270142771385,0.770293258130197,37.7291087107966,0.62463664446803,0.846610660608434,9.42129425157898
4000,-20,2200,98,51,7.4,1.17151840373137,0.7122712956335,0.470288217438491,68.4552482112524,47.1581291306894,0.688889900525374,52.8737983104673,0.772384874674606,44.7701727185717,0.654006433230821,0.848665938157187,10.9375083142962
4000,-20,2300,104,58,8.2,1.17151840373137,0.723015405682985,0.417589500765465,77.851066593189,52.738598230567,0.677429360167314,59.3543143610434,0.762408493016539,51.8775759091923,0.666369494720974,0.849466225301086,13.3932534440127
4000,-20,2400,110,65,9.1,1.17151840373137,0.732864173228347,0.373276697543741,87.2468849751256,59.1928438662188,0.678452232226914,66.8300577825818,0.765987895173968,60.0218746212484,0.687954356632456,0.849900401810934,14.9583187308928
4000,-20,2500,115,74,10.1,1.17151840373137,0.735529133858268,0.341523481306561,99.3272228947584,65.2612835831094,0.657033204806869,73.8467471833323,0.743469363495405,67.634865464695,0.680929794406486,0.849960331326717,19.1629156982821
4000,-20,2550,118,79,10.6,1.17151840373137,0.739918480778138,0.324378629724165,106.038521738999,69.2120772525698,0.652706923083359,78.4103743315637,0.739451786441926,72.575755634033,0.684428210086421,0.849999986498934,20.9206647939462
4000,-20,2600,120,83,11.1,1.17151840373137,0.737989097516657,0.313656113908283,111.407560814391,71.9776982645473,0.646075524303639,81.6033060415364,0.732475475138445,76.0289760444969,0.682440002175111,0.849991868267655,22.7178224912194
6000,-20,2200,96,48,7.1,1.10384081019071,0.697735146743021,0.520135447880685,64.4284689047082,44.6010563214093,0.692256964656039,49.8318943079218,0.77344526658898,40.9883958002212,0.636184539180101,0.847179159098796,9.98139978730428
6000,-20,2300,103,54,7.8,1.10384081019071,0.716063334474495,0.451839785810953,72.4820275177967,50.3823659694356,0.695101498879362,56.5632581711712,0.780376323734641,48.4240487516707,0.668083529255318,0.848982560886279,11.1536113708531
