Scheme,GroupValue,NumberHeldOut,RMSPowerError_kW,MeanAbsolutePowerError_kW,MaximumAbsolutePowerError_kW,MeanPowerError_kW,EtaRMSE
leave-one-altitude-out,2000,18,0.601099679521462,0.483609421245839,1.24328688752708,-0.480580788954819,0.00729657975826522
leave-one-altitude-out,4000,21,0.319738906976436,0.270914979720282,0.554432463816201,0.197156611782175,0.00389385666120174
leave-one-altitude-out,6000,18,0.38563192642652,0.331041903849508,0.755766317963393,0.183653724665914,0.00441117275965128
leave-one-altitude-out,8000,21,0.332134988215296,0.285409530794052,0.620963960643937,0.0813900419029131,0.00420316272023778
leave-one-altitude-out,10000,18,0.361655904860478,0.303782870717748,0.864762820891258,-0.0567279508777497,0.00457028879951845
leave-one-altitude-out,12000,15,0.44003613234628,0.361625027698462,0.925911225184996,-0.29220673359859,0.0067703723528771
leave-one-temperature-column-out,-20,37,0.453259005952233,0.356195671571243,1.15020196650972,-0.146211475747764,0.00544301885757365
leave-one-temperature-column-out,0,37,0.327349757572839,0.281710728272854,0.745764133566175,0.0721422301799774,0.00390341430474068
leave-one-temperature-column-out,20,37,0.380456511395734,0.28838518110851,1.07407526596149,-0.120799590809645,0.00550027088750511
leave-one-RPM-out,2100,6,0.238456620076239,0.209339255226382,0.411730130631498,-0.209339255226382,0.00399004485511842
leave-one-RPM-out,2200,12,0.351021397669768,0.236614281856991,1.0016078786108,-0.0200788283743194,0.00518222256689971
leave-one-RPM-out,2300,18,0.381750775995892,0.321826979660645,0.759599662891324,0.142486874714942,0.00593158232998805
leave-one-RPM-out,2400,18,0.352489550286333,0.306317000350993,0.740532047223375,-0.0483468284322894,0.00452324411150297
leave-one-RPM-out,2500,18,0.390874421758674,0.351132740219264,0.608161214904389,0.0134376995988386,0.0046863894286761
leave-one-RPM-out,2550,6,0.340451561332524,0.3112596097121,0.50558230531552,0.0813540921515216,0.00331299491716554
leave-one-RPM-out,2600,15,0.315074488122318,0.268249733216335,0.699266222172913,0.0160967090512674,0.00341502408795693
leave-one-RPM-out,2650,12,0.406223269566331,0.349740478520158,0.885015183574387,-0.171701332475589,0.00457578981253193
leave-one-RPM-out,2700,6,0.419405674398057,0.390835811297516,0.616297886306167,0.173933754120322,0.00412233350416921
